text,label

"You're an idiot if you believe that",ad_hominem
"Of course you’d support that policy; you're just a greedy corporate shill.",ad_hominem
"Why should we listen to a dropout's opinion on economic theory?",ad_hominem
"You only want that law because you're a typical elitist who hates the working class.",ad_hominem
"Don't listen to him; he has a history of being a contrarian just for attention.",ad_hominem
"You only say that because you’re a bitter person.",ad_hominem
"Why should we trust a politician who can't even keep his own marriage together?",ad_hominem
"Your argument is invalid because you’re just a Gen Z kid who doesn't know how the world works.",ad_hominem
"Typical coming from a liberal/conservative like you.",ad_hominem
"You’re clearly too emotional to have a rational discussion about this.",ad_hominem
"I refuse to debate someone with such a poor track record of personal integrity.",ad_hominem
"Only a loser would think that raising taxes is a good idea.",ad_hominem
"You’re just a shill for the big pharma companies.",ad_hominem
"Of course you like this movie; you have the taste of a toddler.",ad_hominem
"You’re too young to understand the complexities of the housing market.",ad_hominem
"It’s hard to take your medical advice seriously when you’re clearly out of shape yourself.",ad_hominem
"You’re just biased because of your upbringing.",ad_hominem
"Don't listen to her; she’s just looking for her fifteen minutes of fame.",ad_hominem
"He’s a known liar, so everything he just said about the budget is probably false.",ad_hominem
"You’re just an ivory tower academic who has never had a real job.",ad_hominem
"Your opinion on parenting doesn't count since you don't have kids.",ad_hominem
"You’re just jealous of my success, which is why you’re critiquing my methods.",ad_hominem
"I bet you read that on some conspiracy theorist's blog.",ad_hominem
"You’ve always been a contrarian, so I’m ignoring this critique.",ad_hominem
"Go back to school and learn how to think before you talk to me.",ad_hominem
"You’re just repeating what the news told you to think.",ad_hominem
"You’re acting like a crazy person right now.",ad_hominem
"Anyone who supports this candidate is clearly uneducated.",ad_hominem
"I don’t debate people who use profile pictures like that.",ad_hominem
"You’re just a corporate mouthpiece.",ad_hominem
"It’s funny you’re talking about honesty when you cheated on your taxes.",ad_hominem
"You're just a pampered city dweller with no clue about rural life.",ad_hominem
"Your lack of a degree makes this whole point moot.",ad_hominem
"You’re just trying to sound smart, but it’s not working.",ad_hominem
"You’re a hypocrite, so why should I listen?",ad_hominem
"This is coming from a guy who couldn't even finish high school.",ad_hominem
"You’re just an angry troll with nothing better to do.",ad_hominem
"Your brain must be fried if you think that's a good plan.",ad_hominem
"You’re just a sheep following the crowd.",ad_hominem
"I’m not taking financial advice from someone who lives in their parents' basement.",ad_hominem
"You’re just a social justice warrior looking for a problem.",ad_hominem
"You have the IQ of a rock if you believe those stats.",ad_hominem
"You’re just a religious fanatic.",ad_hominem
"You’re just an atheist who hates tradition.",ad_hominem
"You’re a boomer, you wouldn't get it.",ad_hominem
"You’re a snowflake who gets offended by everything.",ad_hominem
"You’re just a gatekeeper trying to feel important.",ad_hominem
"You’re a sellout.",ad_hominem
"You’re just a partisan hack.",ad_hominem
"You’re clearly just projecting your own insecurities.",ad_hominem

"So basically you're saying we should ban everything.",strawman
"You want to lower the military budget? I didn't realize you wanted our country to be completely defenseless.",strawman
"My opponent wants to expand healthcare, which basically means he wants the government to control every aspect of your life.",strawman
"If you support environmental regulations, you clearly want us all to live in caves without electricity.",strawman
"Oh, so you think we should just let criminals run free without any consequences?",strawman
"So you think we should just let anyone into the country without any checks?",strawman
"If you want to reduce police funding, you must love seeing crime in the streets.",strawman
"You don’t like this specific law? I guess you just hate democracy then.",strawman
"Oh, so you want to ban all cars and make everyone walk everywhere?",strawman
"You think kids should have less homework? I didn't know you wanted a generation of idiots.",strawman
"By saying we should regulate AI, you’re basically saying you hate progress.",strawman
"You’re against the death penalty? So you’d rather keep serial killers in luxury hotels?",strawman
"If you don't support this tax, you clearly don't care about the poor.",strawman
"So you're saying that we should just get rid of the military entirely?",strawman
"You want more bike lanes? I guess you want to destroy every small business on this street.",strawman
"If you want to protect the forest, you must want all the loggers to starve to death.",strawman
"So your plan is to just give everyone free money and crash the economy?",strawman
"You think we should talk to our enemies? So you’re a fan of dictatorships?",strawman
"If you want to limit gun sales, you clearly want to leave every family defenseless against home invaders.",strawman
"So you’re saying that the history of our country is 100% evil?",strawman
"You want to lower the drinking age? So you want every teenager to be a drunk driver?",strawman
"If you support meat-free Mondays, you basically want to ban farming.",strawman
"So you're saying that anyone who works hard should have their money stolen?",strawman
"You think the movie was too long? I guess you just hate art.",strawman
"If you want to reform social security, you must want old people to live on the streets.",strawman
"So you think that we should just ignore the law whenever we feel like it?",strawman
"You’re against this war? I guess you don’t support our troops.",strawman
"So you want the government to raise our kids for us?",strawman
"If you think the test was unfair, you obviously just didn't study.",strawman
"So you want to abolish the police and let purge-style chaos happen?",strawman
"You think we should spend more on schools? I guess you want to bankrupt the city.",strawman
"If you like that politician, you must agree with every single bad thing they've ever done.",strawman
"So you’re saying that women should have more rights than men?",strawman
"You want to protect the ocean? So you want to ban all fishing and kill the economy?",strawman
"If you want to change the curriculum, you clearly hate our heritage.",strawman
"So you think that science is the only thing that matters in life?",strawman
"You want to regulate the internet? I guess you hate free speech.",strawman
"If you want to help the homeless, you must want to build a shelter in everyone's backyard.",strawman
"So you're saying that we should just give up and let the other side win?",strawman
"You think we should have more public transit? I guess you want to ban private property.",strawman
"If you support this protest, you must support the looting that happened too.",strawman
"So you think that parents shouldn't have any say in their children's lives?",strawman
"You want to lower the speed limit? I guess you want us all to crawl to work.",strawman
"If you think the CEO is overpaid, you must be a communist who hates success.",strawman
"So you want to replace all teachers with robots?",strawman
"You think we should use less plastic? I guess you want to go back to the Stone Age.",strawman
"If you don't like this song, you must hate the entire genre of music.",strawman
"So you’re saying that the truth doesn't matter as long as people are happy?",strawman
"You want to reform the tax code? So you want to destroy the middle class?",strawman
"If you think the game was boring, you obviously don't understand the rules.",strawman

"If we allow this law, society will collapse.",slippery_slope
"If we let students use AI for one essay, eventually they'll stop learning how to think and the entire education system will vanish.",slippery_slope
"First they'll tax soda, then they'll tax sugar, and before you know it, the government will be weighing you every morning.",slippery_slope
"If we change the dress code, people will start showing up in pajamas, and then total workplace anarchy will follow.",slippery_slope
"If you give an inch to the protesters, they’ll take a mile and eventually occupy the entire city permanently.",slippery_slope
"If we let them change the name of this street, they’ll eventually rename the whole city and erase our history.",slippery_slope
"If you let your kid stay up late once, they’ll never sleep again and eventually drop out of school.",slippery_slope
"First it’s a tax on carbon, next thing you know they’ll be charging us for the air we breathe.",slippery_slope
"If we legalize this drug, everyone will become an addict and the workforce will disappear.",slippery_slope
"If we allow remote work, nobody will ever leave their house and society will become a collection of hermits.",slippery_slope
"If you give her a promotion now, everyone will expect one, and the company will go bankrupt in a month.",slippery_slope
"If we let the government regulate social media, they’ll eventually control every thought we have.",slippery_slope
"If we ban this one book, eventually all libraries will be empty and we’ll live in a dark age.",slippery_slope
"If you start eating bread again, you’ll gain fifty pounds and end up with diabetes by Christmas.",slippery_slope
"If we allow facial recognition at airports, it’s only a matter of time before there are cameras in our bathrooms.",slippery_slope
"If we let the neighbors build a fence, they’ll eventually build a wall and try to take over our yard.",slippery_slope
"If you don't go to college, you'll never find a job, you'll go broke, and you'll end up homeless.",slippery_slope
"If we lower the voting age to 16, soon toddlers will be voting and the country will be a playground.",slippery_slope
"If you let one person skip the line, the whole system of order will fail and people will start rioting.",slippery_slope
"If we use digital currency, the government will eventually switch off your money if they don't like your politics.",slippery_slope
"If we let robots deliver food, eventually they’ll take over all jobs and humans will be obsolete.",slippery_slope
"If you buy a smart fridge, it’ll start spying on you, and then the AI will take over your home.",slippery_slope
"If we change the traditional recipe, people will stop coming to the restaurant and we'll go out of business.",slippery_slope
"If we allow self-driving cars, eventually nobody will know how to drive and one glitch will kill everyone.",slippery_slope
"If you forgive his debt once, he’ll keep asking for money until you’re broke too.",slippery_slope
"If we put a man on Mars, we’ll eventually abandon Earth and let it rot while the rich live in space.",slippery_slope
"If we allow people to choose their own working hours, the concept of a 'business day' will die and the economy will stall.",slippery_slope
"If we stop using cash, the power will go out and we’ll have no way to buy food or survive.",slippery_slope
"If we let this country join the alliance, we'll eventually be dragged into every war they ever have.",slippery_slope
